,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mcvopt_choices,mcvopt_acc,mc_choices,mc_acc
83,5443,0.9522322822354043,5455,0.9756478301592257,5639,0.9687792694349048,5523,0.9725257571027162
84,5808,0.9519200749297534,5987,0.9756478301592257,5397,0.9694036840462067,5753,0.9722135497970652
85,2401,0.9528566968467063,2817,0.9756478301592257,2408,0.9690914767405557,2306,0.9719013424914142
86,6408,0.9522322822354043,6330,0.9756478301592257,6613,0.9687792694349048,6469,0.9715891351857634
87,1494,0.9522322822354043,1416,0.9753356228535748,1523,0.9684670621292538,1394,0.9719013424914142
88,6060,0.9525444895410553,6318,0.9753356228535748,6200,0.9687792694349048,6239,0.9725257571027162
89,5294,0.9525444895410553,5161,0.9756478301592257,5381,0.9678426475179519,5366,0.9725257571027162
90,5928,0.9525444895410553,4828,0.9756478301592257,4828,0.9687792694349048,4901,0.9728379644083671
91,2285,0.9522322822354043,1783,0.9753356228535748,1916,0.9687792694349048,1978,0.9728379644083671
92,6647,0.9528566968467063,6650,0.9753356228535748,6746,0.9681548548236029,6774,0.9728379644083671
93,5468,0.9528566968467063,5597,0.9753356228535748,5446,0.9681548548236029,5588,0.9728379644083671
94,5737,0.9525444895410553,5753,0.9753356228535748,1771,0.9681548548236029,5781,0.9728379644083671
95,2666,0.9534811114580081,2691,0.9759600374648767,2583,0.9681548548236029,2830,0.9731501717140181
96,6551,0.9534811114580081,6393,0.9756478301592257,6445,0.9681548548236029,6483,0.9731501717140181
97,1530,0.953793318763659,1428,0.9753356228535748,1579,0.9694036840462067,1516,0.9731501717140181
98,4987,0.9547299406806119,6278,0.9753356228535748,6270,0.9690914767405557,6205,0.973462379019669
99,5161,0.9547299406806119,5279,0.9753356228535748,5326,0.9687792694349048,5368,0.9728379644083671
100,4856,0.9544177333749609,4836,0.9753356228535748,4885,0.9694036840462067,5053,0.9731501717140181
